"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 09 14:22:20 GMT 2025","Sun Feb 09 14:22:21 GMT 2025","331","","SmokeApiTests","","SmokeApiTests","createUserControllerTest","createUserControllerTest()",""
"passed","Sun Feb 09 14:22:20 GMT 2025","Sun Feb 09 14:22:20 GMT 2025","328","","SmokeApiTests","","SmokeApiTests","createInvalidUser","createInvalidUser()",""
"passed","Sun Feb 09 14:22:21 GMT 2025","Sun Feb 09 14:22:21 GMT 2025","654","","SmokeApiTests","","SmokeApiTests","deleteUserControllerTest","deleteUserControllerTest()",""
"passed","Sun Feb 09 14:22:19 GMT 2025","Sun Feb 09 14:22:20 GMT 2025","668","","SmokeApiTests","","SmokeApiTests","getUserByNameController","getUserByNameController()",""
"passed","Sun Feb 09 14:22:16 GMT 2025","Sun Feb 09 14:22:19 GMT 2025","2914","","SmokeApiTests","","SmokeApiTests","updateUserControllerTest","updateUserControllerTest()",""
