"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 09 14:29:20 GMT 2025","Sun Feb 09 14:29:20 GMT 2025","119","","SmokeApiTests","","SmokeApiTests","createInvalidUser","createInvalidUser()",""
"passed","Sun Feb 09 14:29:20 GMT 2025","Sun Feb 09 14:29:20 GMT 2025","121","","SmokeApiTests","","SmokeApiTests","createUserControllerTest","createUserControllerTest()",""
"passed","Sun Feb 09 14:29:17 GMT 2025","Sun Feb 09 14:29:20 GMT 2025","2458","","SmokeApiTests","","SmokeApiTests","updateUserControllerTest","updateUserControllerTest()",""
"passed","Sun Feb 09 14:29:20 GMT 2025","Sun Feb 09 14:29:20 GMT 2025","254","","SmokeApiTests","","SmokeApiTests","getUserByNameController","getUserByNameController()",""
"passed","Sun Feb 09 14:29:20 GMT 2025","Sun Feb 09 14:29:21 GMT 2025","234","","SmokeApiTests","","SmokeApiTests","deleteUserControllerTest","deleteUserControllerTest()",""
